head,winner,loser,subject_id,center,left,right,validation
41,14,27,0hkvchjl9j,materials/imgs/D65.png,materials/imgs/D19.png,materials/imgs/D37.png,random
29,62,14,0hkvchjl9j,materials/imgs/D46.png,materials/imgs/D19.png,materials/imgs/D96.png,random
27,34,21,0hkvchjl9j,materials/imgs/D37.png,materials/imgs/D52.png,materials/imgs/D29.png,random
5,50,19,0hkvchjl9j,materials/imgs/D104.png,materials/imgs/D8.png,materials/imgs/D25.png,random
45,22,34,0hkvchjl9j,materials/imgs/D75.png,materials/imgs/D52.png,materials/imgs/D3.png,random
28,56,44,0hkvchjl9j,materials/imgs/D4.png,materials/imgs/D85.png,materials/imgs/D74.png,random
38,28,17,0hkvchjl9j,materials/imgs/D57.png,materials/imgs/D22.png,materials/imgs/D4.png,random
58,51,25,0hkvchjl9j,materials/imgs/D9.png,materials/imgs/D80.png,materials/imgs/D35.png,random
57,18,10,0hkvchjl9j,materials/imgs/D87.png,materials/imgs/D14.png,materials/imgs/D24.png,random
58,27,3,0hkvchjl9j,materials/imgs/D9.png,materials/imgs/D102.png,materials/imgs/D37.png,random
56,22,15,0hkvchjl9j,materials/imgs/D85.png,materials/imgs/D20.png,materials/imgs/D3.png,random
35,34,52,0hkvchjl9j,materials/imgs/D53.png,materials/imgs/D81.png,materials/imgs/D52.png,random
59,41,47,0hkvchjl9j,materials/imgs/D92.png,materials/imgs/D65.png,materials/imgs/D77.png,random
21,6,60,0hkvchjl9j,materials/imgs/D29.png,materials/imgs/D94.png,materials/imgs/D105.png,random
3,24,44,0hkvchjl9j,materials/imgs/D102.png,materials/imgs/D34.png,materials/imgs/D74.png,random
26,25,58,0hkvchjl9j,materials/imgs/D36.png,materials/imgs/D9.png,materials/imgs/D35.png,random
39,34,50,0hkvchjl9j,materials/imgs/D6.png,materials/imgs/D8.png,materials/imgs/D52.png,random
7,7,2,0hkvchjl9j,materials/imgs/D106.png,materials/imgs/D106.png,materials/imgs/D101.png,check
30,34,1,0hkvchjl9j,materials/imgs/D47.png,materials/imgs/D1.png,materials/imgs/D52.png,validation
9,53,61,0hkvchjl9j,materials/imgs/D111.png,materials/imgs/D82.png,materials/imgs/D95.png,validation
36,32,31,0hkvchjl9j,materials/imgs/D55.png,materials/imgs/D48.png,materials/imgs/D49.png,random
2,5,60,0hkvchjl9j,materials/imgs/D101.png,materials/imgs/D94.png,materials/imgs/D104.png,random
43,4,40,0hkvchjl9j,materials/imgs/D68.png,materials/imgs/D103.png,materials/imgs/D64.png,random
58,28,59,0hkvchjl9j,materials/imgs/D9.png,materials/imgs/D4.png,materials/imgs/D92.png,random
17,57,19,0hkvchjl9j,materials/imgs/D22.png,materials/imgs/D87.png,materials/imgs/D25.png,random
8,10,25,0hkvchjl9j,materials/imgs/D11.png,materials/imgs/D14.png,materials/imgs/D35.png,random
60,32,3,0hkvchjl9j,materials/imgs/D94.png,materials/imgs/D49.png,materials/imgs/D102.png,random
35,35,40,0hkvchjl9j,materials/imgs/D53.png,materials/imgs/D64.png,materials/imgs/D53.png,check
13,23,38,0hkvchjl9j,materials/imgs/D18.png,materials/imgs/D32.png,materials/imgs/D57.png,validation
46,54,39,0hkvchjl9j,materials/imgs/D76.png,materials/imgs/D83.png,materials/imgs/D6.png,validation
32,21,31,0hkvchjl9j,materials/imgs/D49.png,materials/imgs/D29.png,materials/imgs/D48.png,random
3,17,43,0hkvchjl9j,materials/imgs/D102.png,materials/imgs/D68.png,materials/imgs/D22.png,random
40,21,10,0hkvchjl9j,materials/imgs/D64.png,materials/imgs/D29.png,materials/imgs/D14.png,random
36,57,19,0hkvchjl9j,materials/imgs/D55.png,materials/imgs/D25.png,materials/imgs/D87.png,random
27,62,35,0hkvchjl9j,materials/imgs/D37.png,materials/imgs/D96.png,materials/imgs/D53.png,random
42,23,48,0hkvchjl9j,materials/imgs/D66.png,materials/imgs/D78.png,materials/imgs/D32.png,random
60,20,27,0hkvchjl9j,materials/imgs/D94.png,materials/imgs/D26.png,materials/imgs/D37.png,random
2,2,7,0hkvchjl9j,materials/imgs/D101.png,materials/imgs/D106.png,materials/imgs/D101.png,check
42,56,19,0hkvchjl9j,materials/imgs/D66.png,materials/imgs/D85.png,materials/imgs/D25.png,validation
15,56,55,0hkvchjl9j,materials/imgs/D20.png,materials/imgs/D84.png,materials/imgs/D85.png,validation
36,16,61,0hkvchjl9j,materials/imgs/D55.png,materials/imgs/D21.png,materials/imgs/D95.png,random
6,17,37,0hkvchjl9j,materials/imgs/D105.png,materials/imgs/D56.png,materials/imgs/D22.png,random
24,3,21,0hkvchjl9j,materials/imgs/D34.png,materials/imgs/D29.png,materials/imgs/D102.png,random
52,4,36,0hkvchjl9j,materials/imgs/D81.png,materials/imgs/D103.png,materials/imgs/D55.png,random
29,53,9,0hkvchjl9j,materials/imgs/D46.png,materials/imgs/D111.png,materials/imgs/D82.png,random
24,51,61,0hkvchjl9j,materials/imgs/D34.png,materials/imgs/D95.png,materials/imgs/D80.png,random
37,43,21,0hkvchjl9j,materials/imgs/D56.png,materials/imgs/D68.png,materials/imgs/D29.png,random
29,29,20,0hkvchjl9j,materials/imgs/D46.png,materials/imgs/D46.png,materials/imgs/D26.png,check
37,6,19,0hkvchjl9j,materials/imgs/D56.png,materials/imgs/D25.png,materials/imgs/D105.png,validation
23,43,62,0hkvchjl9j,materials/imgs/D32.png,materials/imgs/D68.png,materials/imgs/D96.png,validation
18,61,40,0hkvchjl9j,materials/imgs/D24.png,materials/imgs/D95.png,materials/imgs/D64.png,random
24,36,1,0hkvchjl9j,materials/imgs/D34.png,materials/imgs/D1.png,materials/imgs/D55.png,random
14,55,2,0hkvchjl9j,materials/imgs/D19.png,materials/imgs/D101.png,materials/imgs/D84.png,random
25,52,20,0hkvchjl9j,materials/imgs/D35.png,materials/imgs/D26.png,materials/imgs/D81.png,random
39,1,37,0hkvchjl9j,materials/imgs/D6.png,materials/imgs/D56.png,materials/imgs/D1.png,random
18,38,62,0hkvchjl9j,materials/imgs/D24.png,materials/imgs/D96.png,materials/imgs/D57.png,random
37,24,23,0hkvchjl9j,materials/imgs/D56.png,materials/imgs/D34.png,materials/imgs/D32.png,random
2,2,7,0hkvchjl9j,materials/imgs/D101.png,materials/imgs/D106.png,materials/imgs/D101.png,check
20,26,59,0hkvchjl9j,materials/imgs/D26.png,materials/imgs/D36.png,materials/imgs/D92.png,validation
34,58,14,0hkvchjl9j,materials/imgs/D52.png,materials/imgs/D9.png,materials/imgs/D19.png,validation
24,17,40,0hkvchjl9j,materials/imgs/D34.png,materials/imgs/D22.png,materials/imgs/D64.png,random
36,22,44,0hkvchjl9j,materials/imgs/D55.png,materials/imgs/D3.png,materials/imgs/D74.png,random
54,24,14,0hkvchjl9j,materials/imgs/D83.png,materials/imgs/D19.png,materials/imgs/D34.png,random
54,13,31,0hkvchjl9j,materials/imgs/D83.png,materials/imgs/D18.png,materials/imgs/D48.png,random
27,42,32,0hkvchjl9j,materials/imgs/D37.png,materials/imgs/D49.png,materials/imgs/D66.png,random
43,3,37,0hkvchjl9j,materials/imgs/D68.png,materials/imgs/D102.png,materials/imgs/D56.png,random
44,13,11,0hkvchjl9j,materials/imgs/D74.png,materials/imgs/D16.png,materials/imgs/D18.png,random
40,40,35,0hkvchjl9j,materials/imgs/D64.png,materials/imgs/D64.png,materials/imgs/D53.png,check
27,9,55,0hkvchjl9j,materials/imgs/D37.png,materials/imgs/D84.png,materials/imgs/D111.png,validation
17,28,19,0hkvchjl9j,materials/imgs/D22.png,materials/imgs/D4.png,materials/imgs/D25.png,validation
35,16,22,0hkvchjl9j,materials/imgs/D53.png,materials/imgs/D3.png,materials/imgs/D21.png,random
6,54,50,0hkvchjl9j,materials/imgs/D105.png,materials/imgs/D8.png,materials/imgs/D83.png,random
2,61,32,0hkvchjl9j,materials/imgs/D101.png,materials/imgs/D95.png,materials/imgs/D49.png,random
30,50,6,0hkvchjl9j,materials/imgs/D47.png,materials/imgs/D105.png,materials/imgs/D8.png,random
32,35,17,0hkvchjl9j,materials/imgs/D49.png,materials/imgs/D22.png,materials/imgs/D53.png,random
54,22,37,0hkvchjl9j,materials/imgs/D83.png,materials/imgs/D56.png,materials/imgs/D3.png,random
39,51,1,0hkvchjl9j,materials/imgs/D6.png,materials/imgs/D80.png,materials/imgs/D1.png,random
40,40,35,0hkvchjl9j,materials/imgs/D64.png,materials/imgs/D64.png,materials/imgs/D53.png,check
38,28,9,0hkvchjl9j,materials/imgs/D57.png,materials/imgs/D111.png,materials/imgs/D4.png,validation
49,33,40,0hkvchjl9j,materials/imgs/D79.png,materials/imgs/D51.png,materials/imgs/D64.png,validation
