"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","subjectID","dateInfo","rt","stimulus","response","question_order","choices","speedy","sampleAlg","selected_image","selected_index","correct"
"true","false","[]","[]","[]","preload","0","236","0.0-0.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","","","","","","","","","",""
"true","","","","","fullscreen","1","2877","0.0-1.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2890","0.0-2.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","","null","","","","","","",""
"","","","","","html-button-response","3","6953","0.0-3.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","4060","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0","","","","","","",""
"true","","","","","fullscreen","4","11167","0.0-4.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","","","","","","","","","",""
"","","","","","survey-multi-select","5","15150","0.0-5.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","3979","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","",""
"","","","","","html-button-response","6","17188","0.0-6.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","2036","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","","","","","","",""
"","","","","","survey-text","7","24135","0.0-7.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","6934","","{""Age"":""18"",""Gender"":""Female"",""Race/ethnicity"":""White""}","","","","","","",""
"","","","","","html-button-response","8","44811","0.0-8.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","20674","<div style='text-align: center;'>
      <p>In each trial of this task, you will see three texture images: one target item on top, and two choices beneath the target item.</p>
      <p><strong>Please select the item that is most like the target item.</strong></p>
      <p>To select the option on the <strong>LEFT</strong>, press the <strong>LEFT ARROW</strong> key. 
      To select the option on the <strong>RIGHT</strong>, press the <strong>RIGHT ARROW</strong> key.</p>
                  <!-- Target Image at the Top -->
      <div style='margin: 20px;'>
        <img src='materials/imgs/instruction_images/InstructionImg1D78.png' alt='Target Image' style='width:200px; height:auto;' />
        <p><em>Target Image</em></p>
      </div>

      <!-- Two Choice Images Below -->
      <div style='display: flex; justify-content: center;'>
        <div style='margin-right: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg2D34.png' alt='Choice Image 1' style='width:150px; height:auto;' />
          <p><em><strong>LEFT ARROW</strong></em></p>
        </div>
        <div style='margin-left: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg3D80.png' alt='Choice Image 2' style='width:150px; height:auto;' />
          <p><em><strong>RIGHT ARROW</strong></em></p>
        </div>
      </div>
    </div>

      <p>When you are ready to proceed, please click 'Continue' to begin practice.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","9","47314","0.0-9.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","html-keyboard-response","10","47815","0.0-10.0-0.0-0.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","11","49726","0.0-10.0-0.0-1.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","1903","materials/imgs/D49.png","arrowright","","[""materials/imgs/D29.png"",""materials/imgs/D77.png""]","false","random","","",""
"","","","","","html-keyboard-response","12","50229","0.0-10.0-0.0-0.1","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","13","52199","0.0-10.0-0.0-1.1","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","1964","materials/imgs/D55.png","arrowleft","","[""materials/imgs/D81.png"",""materials/imgs/D74.png""]","false","random","","",""
"","","","","","html-keyboard-response","14","52701","0.0-10.0-0.0-0.2","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","15","53570","0.0-10.0-0.0-1.2","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","862","materials/imgs/D68.png","arrowright","","[""materials/imgs/D57.png"",""materials/imgs/D79.png""]","false","random","","",""
"","","","","","html-keyboard-response","16","54072","0.0-10.0-0.0-0.3","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","17","57853","0.0-10.0-0.0-1.3","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","3773","materials/imgs/D64.png","arrowright","","[""materials/imgs/D111.png"",""materials/imgs/D101.png""]","false","random","","",""
"","","","","","html-keyboard-response","18","58355","0.0-10.0-0.0-0.4","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","19","59793","0.0-10.0-0.0-1.4","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","1429","materials/imgs/D96.png","arrowright","","[""materials/imgs/D111.png"",""materials/imgs/D103.png""]","false","random","","",""
"","","","","","html-keyboard-response","20","60295","0.0-10.0-0.0-0.5","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","21","62900","0.0-10.0-0.0-1.5","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","2603","materials/imgs/D103.png","arrowright","","[""materials/imgs/D68.png"",""materials/imgs/D83.png""]","false","random","","",""
"","","","","","html-keyboard-response","22","63402","0.0-10.0-0.0-0.6","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","23","67248","0.0-10.0-0.0-1.6","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","3839","materials/imgs/D95.png","arrowleft","","[""materials/imgs/D35.png"",""materials/imgs/D51.png""]","false","random","","",""
"","","","","","html-keyboard-response","24","67751","0.0-10.0-0.0-0.7","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","25","70148","0.0-10.0-0.0-1.7","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","2391","materials/imgs/D105.png","arrowright","","[""materials/imgs/D18.png"",""materials/imgs/D24.png""]","false","random","","",""
"","","","","","html-keyboard-response","26","70651","0.0-10.0-0.0-0.8","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","27","71402","0.0-10.0-0.0-1.8","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","744","materials/imgs/D80.png","arrowright","","[""materials/imgs/D68.png"",""materials/imgs/D57.png""]","false","random","","",""
"","","","","","html-keyboard-response","28","71904","0.0-10.0-0.0-0.9","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","29","74809","0.0-10.0-0.0-1.9","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","2896","materials/imgs/D56.png","arrowright","","[""materials/imgs/D29.png"",""materials/imgs/D19.png""]","false","random","","",""
"","","","","","html-button-response","30","79989","0.0-11.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","5178","<p>Great job!</p>
      <p>You are now ready to begin the experiment.</p>
      <p>There will be around 200 trials. You will have opportunities to take breaks at three stages of the trials.</p>
      <p>When you are ready to begin please click 'Continue'.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","31","82492","0.0-12.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","html-keyboard-response","32","82994","0.0-13.0-0.0-0.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","33","83992","0.0-13.0-0.0-1.0","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","990","materials/imgs/D6.png","arrowleft","","[""materials/imgs/D79.png"",""materials/imgs/D48.png""]","false","random","","",""
"","","","","","html-keyboard-response","34","84495","0.0-13.0-0.0-0.1","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","35","85237","0.0-13.0-0.0-1.1","5r122fzgvg","","5r122fzgvg","""2024-11-13T20:08:12.789Z""","740","materials/imgs/D95.png","arrowright","","[""materials/imgs/D79.png"",""materials/imgs/D36.png""]","false","random","","",""
