"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","subjectID","dateInfo","rt","stimulus","response","question_order","choices","speedy","sampleAlg","selected_image","selected_index","correct"
"true","false","[]","[]","[]","preload","0","326","0.0-0.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","","","","","","","","","",""
"true","","","","","fullscreen","1","3859","0.0-1.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","","","","","","","","","",""
"","","","","","html-keyboard-response","2","3872","0.0-2.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","","null","","","","","","",""
"","","","","","html-button-response","3","10707","0.0-3.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","6833","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0","","","","","","",""
"true","","","","","fullscreen","4","13337","0.0-4.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","","","","","","","","","",""
"","","","","","survey-multi-select","5","43656","0.0-5.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","30312","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","",""
"","","","","","html-button-response","6","47316","0.0-6.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","3658","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","","","","","","",""
"","","","","","survey-text","7","56568","0.0-7.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","9248","","{""Age"":""21"",""Gender"":""Female"",""Race/ethnicity"":""White""}","","","","","","",""
"","","","","","html-button-response","8","70930","0.0-8.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","14360","<div style='text-align: center;'>
      <p>In each trial of this task, you will see three texture images: one target item on top, and two choices beneath the target item.</p>
      <p><strong>Please select the item that is most like the target item.</strong></p>
      <p>To select the option on the <strong>LEFT</strong>, press the <strong>LEFT ARROW</strong> key. 
      To select the option on the <strong>RIGHT</strong>, press the <strong>RIGHT ARROW</strong> key.</p>
                  <!-- Target Image at the Top -->
      <div style='margin: 20px;'>
        <img src='materials/imgs/instruction_images/InstructionImg1D78.png' alt='Target Image' style='width:200px; height:auto;' />
        <p><em>Target Image</em></p>
      </div>

      <!-- Two Choice Images Below -->
      <div style='display: flex; justify-content: center;'>
        <div style='margin-right: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg2D34.png' alt='Choice Image 1' style='width:150px; height:auto;' />
          <p><em><strong>LEFT ARROW</strong></em></p>
        </div>
        <div style='margin-left: 50px;'>
          <img src='materials/imgs/instruction_images/InstructionImg3D80.png' alt='Choice Image 2' style='width:150px; height:auto;' />
          <p><em><strong>RIGHT ARROW</strong></em></p>
        </div>
      </div>
    </div>

      <p>When you are ready to proceed, please click 'Continue' to begin practice.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","9","73434","0.0-9.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","html-keyboard-response","10","73937","0.0-10.0-0.0-0.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","11","76336","0.0-10.0-0.0-1.0","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","2392","materials/imgs/D4.png","arrowright","","[""materials/imgs/D6.png"",""materials/imgs/D35.png""]","false","random","","",""
"","","","","","html-keyboard-response","12","76839","0.0-10.0-0.0-0.1","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","13","78688","0.0-10.0-0.0-1.1","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","1847","materials/imgs/D83.png","arrowleft","","[""materials/imgs/D35.png"",""materials/imgs/D47.png""]","false","random","","",""
"","","","","","html-keyboard-response","14","79190","0.0-10.0-0.0-0.2","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","15","80729","0.0-10.0-0.0-1.2","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","1537","materials/imgs/D66.png","arrowright","","[""materials/imgs/D68.png"",""materials/imgs/D24.png""]","false","random","","",""
"","","","","","html-keyboard-response","16","81230","0.0-10.0-0.0-0.3","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","17","82264","0.0-10.0-0.0-1.3","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","1031","materials/imgs/D24.png","arrowright","","[""materials/imgs/D79.png"",""materials/imgs/D4.png""]","false","random","","",""
"","","","","","html-keyboard-response","18","82765","0.0-10.0-0.0-0.4","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","19","84852","0.0-10.0-0.0-1.4","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","2084","materials/imgs/D95.png","arrowright","","[""materials/imgs/D46.png"",""materials/imgs/D80.png""]","false","random","","",""
"","","","","","html-keyboard-response","20","85353","0.0-10.0-0.0-0.5","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","21","87974","0.0-10.0-0.0-1.5","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","2619","materials/imgs/D65.png","arrowright","","[""materials/imgs/D81.png"",""materials/imgs/D3.png""]","false","random","","",""
"","","","","","html-keyboard-response","22","88476","0.0-10.0-0.0-0.6","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","23","90038","0.0-10.0-0.0-1.6","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","1559","materials/imgs/D81.png","arrowleft","","[""materials/imgs/D14.png"",""materials/imgs/D102.png""]","false","random","","",""
"","","","","","html-keyboard-response","24","90539","0.0-10.0-0.0-0.7","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
"","","","","","image-keyboard-response","25","91387","0.0-10.0-0.0-1.7","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","846","materials/imgs/D92.png","arrowleft","","[""materials/imgs/D29.png"",""materials/imgs/D8.png""]","false","random","","",""
"","","","","","html-keyboard-response","26","91889","0.0-10.0-0.0-0.8","asjp7tndpd","","asjp7tndpd","""2024-11-13T15:45:28.464Z""","null","+","null","","","","","","",""
